source_short_name,label,svg_group_id,candidate_ontology_id,candidate_ontology_ids,x,y,width,height,source_attributes,confidence,notes
RH7-C,RH7-C,svg_466,,[],978,135,,,"{""data-filter"":""RH7-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_288_6""}",0.12,no canonical ontology alias match found
RH8-C,RH8-C,svg_468,,[],978,80,,,"{""data-filter"":""RH8-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_290_6""}",0.12,no canonical ontology alias match found
CC-T,CC-T,svg_497,,[],941,444,,,"{""data-filter"":""CC-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_194_6""}",0.12,no canonical ontology alias match found
RHC-T,RHC-T,svg_499,,[],1048,451,,,"{""data-filter"":""RHC-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_227_6""}",0.12,no canonical ontology alias match found
PH-O,PH-O,svg_501,,[],697,446,,,"{""data-filter"":""PH-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_368_6""}",0.12,no canonical ontology alias match found
PH-POS,PH-POS,svg_503,,[],697,391,,,"{""data-filter"":""PH-POS"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_370_6""}",0.12,no canonical ontology alias match found
CLG-POS,CLG-POS,svg_505,,[],874,458,,,"{""data-filter"":""CLG-POS"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_132_6""}",0.12,no canonical ontology alias match found
CLG-O,CLG-O,svg_507,,[],874,403,,,"{""data-filter"":""CLG-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_120_6""}",0.12,no canonical ontology alias match found
RAPLO-A,RAPLO-A,svg_490,,[],901,161,,,"{""data-filter"":""RAPLO-A"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_197_6""}",0.12,no canonical ontology alias match found
RA-SD,RA-SD,svg_522,,[],1015,192,,,"{""data-filter"":""RA-SD"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_251_6""}",0.12,no canonical ontology alias match found
FFILT-S,FFILT-S,svg_556,,[],1353,490,,,"{""data-filter"":""FFILT-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_443_6""}",0.12,no canonical ontology alias match found
RA-F,RA-F,svg_563,,[],776,176,,,"{""data-filter"":""RA-F"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_11_6""}",0.12,no canonical ontology alias match found
DA-SD,DA-SD,svg_577,,[],1433,495,,,"{""data-filter"":""DA-SD"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_445_6""}",0.12,no canonical ontology alias match found
DA-T,DA-T,svg_583,,[],1511,481,,,"{""data-filter"":""DA-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_449_6""}",0.12,no canonical ontology alias match found
DAT-SP,DAT-SP,svg_585,,[],1511,426,,,"{""data-filter"":""DAT-SP"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_452_6""}",0.12,no canonical ontology alias match found
DA1-P,DA1-P,svg_587,,[],1657,437,,,"{""data-filter"":""DA1-P"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_119_6""}",0.12,no canonical ontology alias match found
DAP-SP,DAP-SP,svg_589,,[],1657,492,,,"{""data-filter"":""DAP-SP"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_203_6""}",0.12,no canonical ontology alias match found
DAPHI-A,DAPHI-A,svg_591,,[],1252,460,,,"{""data-filter"":""DAPHI-A"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_394_6""}",0.12,no canonical ontology alias match found
PHWE-T,PHWE-T,svg_601,,[],698,528,,,"{""data-filter"":""PHWE-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_303_6""}",0.12,no canonical ontology alias match found
PHWL-T,PHWL-T,svg_603,,[],698,473,,,"{""data-filter"":""PHWL-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_299_6""}",0.12,no canonical ontology alias match found
CCWL-T,CCWL-T,svg_605,,[],920,544,,,"{""data-filter"":""CCWL-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_491_6""}",0.12,no canonical ontology alias match found
CCWE-T,CCWE-T,svg_607,,[],920,489,,,"{""data-filter"":""CCWE-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_498_6""}",0.12,no canonical ontology alias match found
RHWL-T,RHWL-T,svg_609,,[],1070,442,,,"{""data-filter"":""RHWL-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_561_6""}",0.12,no canonical ontology alias match found
RHWE-T,RHWE-T,svg_611,,[],1070,387,,,"{""data-filter"":""RHWE-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_563_6""}",0.12,no canonical ontology alias match found
RH-O,RH-O,svg_660,,[],1070,541,,,"{""data-filter"":""RH-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_204_6""}",0.12,no canonical ontology alias match found
RH-POS,RH-POS,svg_662,,[],1070,486,,,"{""data-filter"":""RH-POS"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_208_6""}",0.12,no canonical ontology alias match found
PFILT-S,PFILT-S,svg_60,,[],543,508,,,"{""data-filter"":""PFILT-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_32_6""}",0.12,no canonical ontology alias match found
RF-S,RF-S,svg_176,,[],0,0,,,"{""data-filter"":""RF-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_116_6""}",0.12,no canonical ontology alias match found
RF-C,RF-C,svg_178,,[],0,0,,,"{""data-filter"":""RF-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_122_6""}",0.12,no canonical ontology alias match found
RF-O,RF-O,svg_283,,[],0,0,,,"{""data-filter"":""RF-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_170_6""}",0.12,no canonical ontology alias match found
SF-S,SF-S,svg_470,,[],0,0,,,"{""data-filter"":""SF-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_265_6""}",0.12,no canonical ontology alias match found
SF-C,SF-C,svg_473,,[],0,0,,,"{""data-filter"":""SF-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_407_6""}",0.12,no canonical ontology alias match found
